□ 일반기준,,,,,,
,급이 (10),사료,영양 균형이 맞는 사료를 매일 1회 이상 충분히 제공하고 있는가?,,,"5: 사료품질 양호, 충분
4: 사료품질 양호, 충분(일부 관리 미흡)
3: 사료품질 양호, 불충분
2: 사료품질 불량, 불충분(일부 확인)
1:사료 품질 불량, 불충분(부족 심각)
0: 서료품질 불량, 불충분(변질사료 지속 제공 또는 공급 현저히 부족)"
,,풀사료,"적절한 반추를 위해 사료(건물기준)의 60% 이상 건초 등 풀사료를 포함하는가 ? (관리자가 제출한 사료 구매, 급여, 재고 등 관련 기록으로 사료급여 중 풀사료 급여 비율이 확인이 안 될 시 'N'평가)",,,"Y: 60% 이상
N: 60% 이하"
,,금지,"사료에 포유류 또는 조류 유래 단백질이 포함되어 있지 않은가?
(* 우유 및 계란 유래 단백질 제외, 영양성분 기록 등 확인)",,,"Y : 미포함
N : 포함"
,,급이기,"급이기는 오염이 되지 않도록 적절하게 설치 및 관리되고 있는가? 
(* 오염상태 기록)",,,"5: 오염 없음
4: 오염 없음(경미한 오염)
3: 오염도 양호(일부 구간 오염)
2: 심한 오염(다수 구간 오염 또는 일부 부패)
1: 심한 오염(광범위한 심한 오염)
0: 심한 오염(관리 부재)"
,,,"급이기는 기준에 적합한가? (실측치 기록)
※ 두당 최소 사료조 길이
   - 송아지 40 ㎝, 번식우, 비육우, 건유우, 착유우 70 ㎝",,,"Y: 적합
N: 부적합"
,"급수
(5)",급수,소에게 적합한 음료로서 신선하고 깨끗한 물을 항상 제공하는가?,,,"5: 오염안됨(청결·유량·작동·접근성 모두 적정)
4: 오염안됨(일부 관리 미흡)
3: 양호(음수 가능, 일부 시설 개선 필요)
2: 양호(일부 오염·고장·유량 부족)
1: 오염(다수 오염·접근 제한 우려)
0: 오염(물은 공급되나 위생·유량·시설상태 매우 불량)
N: 심한 오염/제한급수"
,,검사,물은 최소 1년에 1회 이상 정기적으로 검사하고 그 기록을 2년 이상 보관하고 있는가? 수질 기준은 적합한가?,,,"Y
N : 기록없음, 미검사, 수질 기준 부적합"
,,,■ 검사일 :,,,
,,겨울 급수,겨울에도 급수가 항시 가능하도록 대책이 마련되어 있는가?,,,"Y
N : 대책 없음"
,,,■ 대비내용 : ,,,
,,급수기,"급수기는 기준에 적합한가? : (실측결과 참조)
 - 개별 급수기를 사용할 경우 10마리당 1개 이상
 - 최소 급수공간은 두당 최소 450～700㎜ ",,,"Y: 적합
N: 부적합"
,준수사항,이유시기,"송아지가 아래 기준에 따라 적절하게 관리되고 있는가 ?
 - 생후 6시간 이내 초유 급여 : 첫 24시간 동안 지속적으로 충분한 양(약 1.0ℓ이상)의 초유 급여
 - 생후 1주  후부터 사료 입 붙이기를 하여야 하며, 최소 700g 이상의 고형식 사료를 급여할 때까지 대용유를 급여
 - 반추위의 성장을 저해하지 않도록 생후 1주 후부터 양질의 풀사료 급여
 - 체중이 약 70kg에 달하는 때 이유시킬 수 있으나.가급적 생후 50일령 이후에 이유하는 것을 권장
 - 이유와 동시에 합사 및 제갈 물리기 금지",,,"5: 초유·영양·이유합사 관리 모두 적정
4: 주요 기준 충족, 일부 기록 미흡
3: 기본관리 실시, 일부 기준 미흡
2: 초유·이유 관리 등 다수 미흡
1: 이유관리 전반 불량
0: 이유관리는 하나, 대부분 기준 미충족
N: 이유 동시 합사 또는 재갈 물리기"
,,군사사육,"모든 소는 군사사육을 하고 있는가?
(* 치료 목적 이외 계류식 사육 시 N으로 평가)",,,"Y: 군사사육
N: 계류사육"
,,제각,"제각을 하지 않거나 제각할 경우 규정에 맞게 실시하고 있는가?
(* 서열다툼, 난폭한 성향에 대한 관리적 목적이나 전두동염 등의 치료적 목적의 제각 허용, 이때 숙련된 사람에 의해 위생적이며 인도적으로 실시)",,,"Y: 제각 미실시 또는 규정준수
N: 제각"
,,거세,거세를 하지 않거나 거세를 할 경우 외과적 수술을 이용하여 수의사에 의해 위생적이며 인도적으로 실시하고 있는가?,,,"Y: 거세 미실시 또는 규정준수
N: 거세"
,,"이표, 마킹, 문신",수의사나 숙련된 자가 적합한 도구를 이용하여 위생적이며 인도적으로 실시하는가?,,,"Y: 적절
N: 부적절"
,,전기봉,전기봉을 보유하고 있지 않는가?,,,"Y: 미보유
N: 보유"
,도태,,"도태는 수의사 또는 동물복지를 고려한 방법으로 실시되고 있는가?
(* 도구, 폐사기록, 수의사 처리 기록 등 확인)",,,"Y: 수의사, 숙련
N: 방치, 부적절한 방법"
,,,,, ,
